state,date,PRECTOTCORR,T2M,RH2M
Delta,20200207,0.0,26.42,69.81
Delta,20200208,0.0,27.08,78.53
Delta,20200209,0.0,27.49,84.95
Delta,20200210,0.0,27.5,85.23
Delta,20200211,0.0,26.18,74.27
Delta,20200212,0.0,24.57,68.84
Delta,20200213,0.0,23.78,66.56
Delta,20200214,0.0,25.29,65.5
Delta,20200215,0.0,26.04,80.47
Delta,20200216,0.0,27.29,86.85
Delta,20200217,0.0,27.38,87.97
Delta,20200218,0.0,27.39,87.53
Delta,20200219,0.0,27.71,85.9
Delta,20200220,0.0,28.44,82.87
Delta,20200221,0.0,28.08,84.91
Delta,20200222,0.0,28.33,85.08
Delta,20200223,0.0,28.46,86.3
Delta,20200224,0.0,28.12,84.84
Delta,20200225,0.17,27.56,84.75
Delta,20200226,0.09,27.8,84.87
Delta,20200227,0.25,27.95,84.8
Delta,20200228,0.09,28.24,79.37
Delta,20200229,0.06,27.88,86.52
Delta,20200301,0.27,27.89,88.0
Delta,20200302,3.89,27.69,88.09
Delta,20200303,4.71,27.21,89.26
Delta,20200304,2.97,27.3,87.3
Delta,20200305,2.81,27.83,87.47
Delta,20200306,4.31,27.27,89.55
Delta,20200307,5.48,26.41,78.6
Delta,20200308,2.53,27.98,82.98
Delta,20200309,11.52,27.81,88.03
Delta,20200310,27.49,27.6,90.37
Delta,20200311,8.99,27.44,90.85
Delta,20200312,30.56,27.48,90.81
Delta,20200313,23.24,27.78,89.16
Delta,20200314,9.52,28.33,85.21
Delta,20200315,13.7,28.16,86.93
Delta,20200316,13.62,27.83,89.56
Delta,20200317,1.25,27.52,91.02
Delta,20200318,2.78,28.0,88.11
Delta,20200319,2.48,27.74,90.54
Delta,20200320,3.87,27.48,88.6
Delta,20200321,1.08,27.7,85.5
Delta,20200322,2.69,27.35,88.56
Delta,20200323,20.8,26.62,91.6
Delta,20200324,19.31,26.03,93.5
Delta,20200325,2.1,25.79,90.85
Delta,20200326,1.0,26.43,88.43
Delta,20200327,3.92,27.28,87.57
Delta,20200328,4.27,27.31,89.6
Delta,20200329,15.16,26.91,93.68
Delta,20200330,2.54,27.01,90.76
Delta,20200331,4.8,27.22,91.59
Delta,20200401,6.48,26.54,93.15
Delta,20200402,2.95,27.62,86.85
Delta,20200403,9.26,27.24,92.92
Delta,20200404,3.94,26.46,92.53
Delta,20200405,1.72,28.7,80.16
Delta,20200406,11.97,27.23,92.52
Delta,20200407,4.72,27.3,90.01
Delta,20200408,7.55,26.88,90.15
Delta,20200409,8.68,26.76,89.79
Delta,20200410,8.28,26.39,87.07
Delta,20200411,0.04,26.82,83.76
Delta,20200412,0.02,28.15,82.36
Delta,20200413,0.04,27.96,86.04
Delta,20200414,0.02,27.97,85.96
Delta,20200415,0.03,28.13,86.73
Delta,20200416,0.13,28.0,89.51
Delta,20200417,0.06,27.74,88.52
Delta,20200418,0.11,27.83,86.98
Delta,20200419,0.45,26.75,90.35
Delta,20200420,0.06,26.62,88.12
Delta,20200421,0.9,27.19,86.25
Delta,20200422,2.88,26.82,92.09
Delta,20200423,1.2,26.73,91.96
Delta,20200424,2.46,26.65,91.81
Delta,20200425,8.41,26.72,93.25
Delta,20200426,42.36,25.44,93.78
Delta,20200427,27.36,26.77,90.58
Delta,20200428,13.67,27.24,89.37
Delta,20200429,11.99,27.08,90.53
Delta,20200430,17.94,26.79,94.98
Delta,20200501,1.34,26.74,92.38
Delta,20200502,1.36,27.18,89.94
Delta,20200503,2.99,26.54,94.67
Delta,20200504,0.58,27.28,86.87
Delta,20200505,0.46,27.37,88.94
Delta,20200506,3.39,27.65,87.84
Delta,20200507,4.35,27.39,89.61
Delta,20200508,8.14,26.9,91.82
Delta,20200509,4.97,27.44,88.94
Delta,20200510,15.73,26.03,94.37
Delta,20200511,11.88,26.18,89.65
Delta,20200512,8.52,26.81,87.59
Delta,20200513,1.94,26.7,89.17
Delta,20200514,3.11,27.36,88.83
Delta,20200515,5.22,27.14,91.29
Delta,20200516,5.17,26.82,92.73
Delta,20200517,4.56,26.54,92.03
Delta,20200518,0.99,27.47,87.72
Delta,20200519,4.74,25.84,96.18
Delta,20200520,4.2,26.59,90.18
Delta,20200521,5.21,25.88,93.14
Delta,20200522,9.57,26.15,90.43
Delta,20200523,3.96,26.56,89.75
Delta,20200524,9.42,26.06,93.99
Delta,20200525,33.47,26.26,94.41
Delta,20200526,5.12,26.96,91.38
Delta,20200527,0.53,26.81,90.68
Delta,20200528,1.34,26.7,92.33
Delta,20200529,1.38,26.66,90.73
Delta,20200530,2.83,25.54,94.9
Delta,20200531,5.35,25.43,94.27
Delta,20200601,7.67,25.73,93.81
Delta,20200602,7.37,26.08,91.61
Delta,20200603,3.72,26.21,92.51
Delta,20200604,4.73,26.13,92.61
Delta,20200605,11.83,26.34,89.55
Delta,20200606,18.78,26.14,92.68
Delta,20200607,29.2,26.04,88.94
Delta,20200608,59.51,25.63,92.82
Delta,20200609,12.58,25.55,90.33
Delta,20200610,7.36,25.99,88.85
Delta,20200611,7.9,25.63,91.47
Delta,20200612,12.35,24.47,95.08
Delta,20200613,16.0,25.39,91.19
Delta,20200614,14.47,25.18,96.85
Delta,20200615,5.61,26.37,89.74
Delta,20200616,5.3,26.33,92.17
Delta,20200617,10.69,25.88,93.31
Delta,20200618,15.78,25.43,92.92
Delta,20200619,3.18,25.92,89.08
Delta,20200620,8.23,25.13,92.06
Delta,20200621,6.61,25.35,91.6
Delta,20200622,9.24,24.9,93.95
Delta,20200623,6.38,25.53,88.88
Delta,20200624,1.83,25.58,90.28
Delta,20200625,24.68,25.54,93.15
Delta,20200626,24.05,25.27,94.15
Delta,20200627,26.22,24.9,94.78
Delta,20200628,24.08,25.1,92.53
Delta,20200629,27.97,25.2,91.78
Delta,20200630,2.57,24.7,90.81
Delta,20200701,3.52,25.49,87.22
Delta,20200702,5.97,25.73,90.26
Delta,20200703,8.93,25.37,93.6
Delta,20200704,29.53,24.84,94.78
Delta,20200705,12.28,24.75,94.82
Delta,20200706,17.7,25.16,92.95
Delta,20200707,25.94,25.29,92.92
Delta,20200708,29.44,24.61,95.92
Delta,20200709,22.31,25.06,93.4
Delta,20200710,22.35,24.23,95.6
Delta,20200711,21.03,24.23,93.59
Delta,20200712,5.0,24.59,90.85
Delta,20200713,6.23,24.77,91.56
Delta,20200714,13.73,24.37,95.42
Delta,20200715,15.73,24.37,95.39
Delta,20200716,9.87,24.77,90.81
Delta,20200717,9.19,24.71,90.28
Delta,20200718,10.94,25.02,91.45
Delta,20200719,15.49,24.51,94.73
Delta,20200720,17.45,24.41,95.31
Delta,20200721,17.33,24.74,94.67
Delta,20200722,13.52,24.54,94.55
Delta,20200723,9.62,24.68,92.98
Delta,20200724,8.72,24.84,92.33
Delta,20200725,5.73,25.05,91.06
Delta,20200726,6.95,24.54,92.28
Delta,20200727,7.25,24.21,93.42
Delta,20200728,7.36,24.69,91.06
Delta,20200729,2.21,24.71,89.09
Delta,20200730,3.47,24.67,88.87
Delta,20200731,3.71,24.13,91.55
Delta,20200801,0.99,24.59,87.25
Delta,20200802,1.79,24.24,90.79
Delta,20200803,1.69,24.4,89.38
Delta,20200804,0.04,24.27,87.07
Delta,20200805,0.07,23.7,87.01
Delta,20200806,0.06,23.33,87.37
Delta,20200807,0.18,23.71,86.71
Delta,20200808,0.05,24.16,85.96
Delta,20200809,0.07,23.56,85.35
Delta,20200810,0.15,23.97,85.91
Delta,20200811,0.05,24.26,85.68
Delta,20200812,0.01,24.61,82.5
Delta,20200813,0.12,24.44,86.38
Delta,20200814,0.52,23.91,89.03
Delta,20200815,0.99,24.9,86.91
Delta,20200816,0.85,24.96,86.48
Delta,20200817,2.27,25.14,87.74
Delta,20200818,2.17,25.29,87.33
Delta,20200819,3.04,24.76,90.1
Delta,20200820,12.68,24.83,89.53
Delta,20200821,10.16,24.77,90.56
Delta,20200822,3.41,25.28,87.6
Delta,20200823,1.78,24.22,90.86
Delta,20200824,0.11,24.21,88.36
Delta,20200825,0.22,24.82,84.36
Delta,20200826,0.45,25.01,84.85
Delta,20200827,0.71,24.65,88.51
Delta,20200828,5.53,24.41,91.79
Delta,20200829,14.73,24.43,91.68
Delta,20200830,17.19,24.77,90.35
Delta,20200831,13.19,25.2,88.81
Delta,20200901,24.88,24.16,93.83
Delta,20200902,9.47,25.25,89.1
Delta,20200903,1.58,25.35,88.18
Delta,20200904,12.16,25.13,89.85
Delta,20200905,5.17,24.94,89.94
Delta,20200906,2.14,25.08,88.61
Delta,20200907,1.07,25.67,86.14
Delta,20200908,15.4,24.44,92.54
Delta,20200909,38.46,24.02,94.58
Delta,20200910,1.42,25.04,89.38
Delta,20200911,6.34,25.2,89.84
Delta,20200912,6.03,24.58,93.95
Delta,20200913,10.9,25.26,90.59
Delta,20200914,5.49,25.21,90.99
Delta,20200915,10.1,24.82,92.6
Delta,20200916,10.22,25.18,89.77
Delta,20200917,3.27,25.37,88.07
Delta,20200918,2.73,25.66,88.29
Delta,20200919,55.36,24.27,96.31
Delta,20200920,10.72,24.52,93.92
Delta,20200921,2.72,25.24,90.17
Delta,20200922,5.04,25.49,90.38
Delta,20200923,37.69,25.03,92.19
Delta,20200924,29.51,25.5,89.48
Delta,20200925,29.66,24.83,92.88
Delta,20200926,30.83,24.66,94.55
Delta,20200927,60.03,24.37,94.55
Delta,20200928,8.11,25.03,91.57
Delta,20200929,9.29,25.03,93.1
Delta,20200930,2.93,25.06,92.46
Delta,20201001,2.09,25.13,91.03
Delta,20201002,3.17,25.16,91.82
Delta,20201003,5.75,25.06,93.32
Delta,20201004,6.48,25.72,91.29
Delta,20201005,9.84,25.63,92.5
Delta,20201006,22.37,25.29,91.45
Delta,20201007,2.61,24.73,91.74
Delta,20201008,4.37,24.6,92.41
Delta,20201009,3.65,25.5,88.04
Delta,20201010,3.38,25.58,89.43
Delta,20201011,4.04,24.72,92.5
Delta,20201012,1.15,25.53,87.57
Delta,20201013,12.59,25.37,91.93
Delta,20201014,19.73,24.65,94.86
Delta,20201015,11.87,25.41,91.3
Delta,20201016,11.19,24.65,93.27
Delta,20201017,14.54,25.05,91.47
Delta,20201018,1.22,26.19,87.4
Delta,20201019,1.48,25.59,92.88
Delta,20201020,1.36,25.89,90.89
Delta,20201021,1.75,25.77,90.82
Delta,20201022,1.06,26.33,89.31
Delta,20201023,8.53,26.13,90.95
Delta,20201024,8.29,25.74,92.47
Delta,20201025,3.43,26.22,90.09
Delta,20201026,7.96,26.1,92.71
Delta,20201027,11.22,25.75,92.61
Delta,20201028,65.86,26.4,90.36
Delta,20201029,38.54,25.44,94.96
Delta,20201030,4.52,26.73,86.42
Delta,20201031,8.21,26.84,88.39
Delta,20201101,8.63,25.56,95.33
Delta,20201102,0.16,26.51,88.21
Delta,20201103,0.49,26.12,91.77
Delta,20201104,0.78,26.3,91.07
Delta,20201105,0.55,26.09,92.39
Delta,20201106,0.31,27.05,89.39
Delta,20201107,15.41,25.67,94.42
Delta,20201108,11.75,26.19,87.06
Delta,20201109,10.53,26.22,89.43
Delta,20201110,10.13,26.62,87.97
Delta,20201111,11.38,25.68,93.56
Delta,20201112,6.68,26.15,89.58
Delta,20201113,0.11,27.38,81.02
Delta,20201114,0.69,26.34,90.79
Delta,20201115,0.88,26.5,90.38
Delta,20201116,1.67,26.45,88.63
Delta,20201117,0.53,26.32,87.93
Delta,20201118,1.07,26.97,86.78
Delta,20201119,0.91,26.63,88.79
Delta,20201120,1.69,26.53,87.91
Delta,20201121,0.76,26.49,84.77
Delta,20201122,19.57,26.99,84.99
Delta,20201123,10.89,27.3,86.82
Delta,20201124,4.73,27.09,89.18
Delta,20201125,10.38,27.21,88.4
Delta,20201126,14.93,26.5,91.7
Delta,20201127,82.48,25.45,92.64
Delta,20201128,51.85,26.83,87.95
Delta,20201129,23.19,27.04,85.55
Delta,20201130,24.36,26.96,86.73
Delta,20201201,12.41,27.3,86.54
Delta,20201202,0.0,26.9,87.68
Delta,20201203,0.0,26.96,87.13
Delta,20201204,0.0,26.8,87.58
Delta,20201205,0.0,26.72,88.56
Delta,20201206,0.0,26.97,87.01
Delta,20201207,2.5,25.14,94.49
Delta,20201208,0.03,26.33,83.69
Delta,20201209,0.45,26.78,88.9
Delta,20201210,0.5,25.82,93.99
Delta,20201211,0.38,26.02,92.79
Delta,20201212,6.69,25.91,94.16
Delta,20201213,3.05,26.04,91.95
Delta,20201214,7.05,26.24,90.84
Delta,20201215,10.99,25.94,92.25
Delta,20201216,7.56,26.64,88.42
Delta,20201217,0.88,26.52,89.13
Delta,20201218,1.13,26.12,92.23
Delta,20201219,0.47,26.41,88.65
Delta,20201220,1.23,26.62,88.35
Delta,20201221,1.1,26.33,91.77
Delta,20201222,0.17,25.78,94.32
Delta,20201223,0.24,25.97,92.91
Delta,20201224,0.4,26.43,90.98
Delta,20201225,0.13,27.22,86.2
Delta,20201226,0.09,25.85,87.35
Delta,20201227,0.0,27.23,85.7
Delta,20201228,0.0,26.52,89.78
Delta,20201229,0.0,26.61,87.01
Delta,20201230,0.0,26.92,87.33
Delta,20201231,0.0,27.23,88.24
Delta,20210101,0.25,26.99,89.19
Delta,20210102,0.25,26.92,89.71
Delta,20210103,0.66,27.05,89.63
Delta,20210104,0.47,26.73,91.5
Delta,20210105,0.48,26.32,95.16
Delta,20210106,14.45,26.65,90.42
Delta,20210107,15.35,26.57,91.32
Delta,20210108,18.62,26.18,92.98
Delta,20210109,14.02,26.78,89.94
Delta,20210110,10.73,26.9,88.97
Delta,20210111,0.36,27.2,86.54
Delta,20210112,0.36,26.7,88.5
Delta,20210113,0.39,26.71,87.11
Delta,20210114,0.38,26.81,85.79
Delta,20210115,2.43,27.07,85.58
Delta,20210116,0.25,26.74,87.87
Delta,20210117,0.05,27.07,84.23
Delta,20210118,0.06,27.13,84.94
Delta,20210119,0.09,27.08,84.27
Delta,20210120,0.02,26.08,77.67
Delta,20210121,0.0,24.78,72.39
Delta,20210122,0.0,25.4,73.3
Delta,20210123,0.0,25.03,73.07
Delta,20210124,0.0,24.98,81.2
Delta,20210125,0.0,26.9,84.4
Delta,20210126,1.25,26.75,89.47
Delta,20210127,2.68,26.62,90.45
Delta,20210128,4.33,26.26,91.99
Delta,20210129,1.09,26.82,87.21
Delta,20210130,0.67,26.93,85.12
Delta,20210131,0.49,25.96,92.79
Delta,20210201,0.37,26.78,88.2
Delta,20210202,1.01,26.75,89.46
Delta,20210203,0.68,27.24,87.69
Delta,20210204,0.17,27.55,85.46
Delta,20210205,0.0,27.19,87.2
Delta,20210206,0.0,27.13,85.47
Delta,20210207,0.0,27.2,87.03
Delta,20210208,0.0,27.49,87.34
Delta,20210209,0.0,27.82,85.61
Delta,20210210,3.51,28.03,85.8
Delta,20210211,7.38,27.84,87.83
Delta,20210212,7.62,27.23,91.76
Delta,20210213,3.78,27.33,89.39
Delta,20210214,3.03,27.57,87.9
Delta,20210215,0.66,26.93,89.87
Delta,20210216,0.63,27.05,89.84
Delta,20210217,0.53,25.02,81.18
Delta,20210218,0.0,24.1,65.44
Delta,20210219,0.0,22.95,64.87
Delta,20210220,0.0,24.54,57.82
Delta,20210221,0.0,25.25,70.42
Delta,20210222,0.1,25.76,88.31
Delta,20210223,0.27,26.69,88.14
Delta,20210224,0.43,26.67,87.85
Delta,20210225,0.9,26.36,90.32
Delta,20210226,1.79,26.52,90.35
Delta,20210227,3.09,27.07,87.8
Delta,20210228,1.99,27.33,87.91
Delta,20210301,2.95,27.53,87.9
Delta,20210302,0.0,27.58,87.68
Delta,20210303,0.0,27.54,88.42
Delta,20210304,0.0,27.76,87.68
Delta,20210305,0.0,27.47,88.37
Delta,20210306,0.0,27.52,88.56
Delta,20210307,1.36,27.88,87.59
Delta,20210308,3.97,27.28,91.5
Delta,20210309,4.23,27.24,89.93
Delta,20210310,3.36,26.81,90.1
Delta,20210311,2.93,26.76,89.97
Delta,20210312,13.0,26.62,90.64
Delta,20210313,21.98,26.26,92.0
Delta,20210314,19.57,25.54,93.97
Delta,20210315,0.87,25.85,89.12
Delta,20210316,11.85,26.25,90.58
Delta,20210317,1.45,25.89,90.88
Delta,20210318,1.1,25.91,89.37
Delta,20210319,1.53,26.26,86.84
Delta,20210320,0.33,26.08,86.71
Delta,20210321,0.75,26.62,86.65
Delta,20210322,17.08,26.1,93.31
Delta,20210323,4.74,26.24,89.88
Delta,20210324,11.5,25.57,93.42
Delta,20210325,2.63,26.16,87.63
Delta,20210326,1.66,26.8,86.42
Delta,20210327,0.08,26.77,90.29
Delta,20210328,0.03,27.88,82.81
Delta,20210329,0.02,27.67,85.34
Delta,20210330,0.02,27.48,86.14
Delta,20210331,0.04,27.53,86.01
Delta,20210401,0.39,27.24,88.61
Delta,20210402,0.4,27.02,89.87
Delta,20210403,0.38,27.02,90.3
Delta,20210404,0.37,26.87,91.47
Delta,20210405,0.31,27.64,87.4
Delta,20210406,4.33,26.89,93.2
Delta,20210407,13.53,26.8,92.58
Delta,20210408,3.35,26.84,92.33
Delta,20210409,1.47,26.56,91.11
Delta,20210410,3.96,26.88,92.17
Delta,20210411,58.88,26.69,92.93
Delta,20210412,8.24,27.24,85.08
Delta,20210413,76.76,26.11,93.62
Delta,20210414,54.84,26.21,90.72
Delta,20210415,22.16,26.93,88.49
Delta,20210416,25.25,26.08,94.36
Delta,20210417,19.58,26.36,90.75
Delta,20210418,13.2,26.21,92.3
Delta,20210419,8.13,26.0,93.24
Delta,20210420,14.31,26.45,93.83
Delta,20210421,10.63,27.11,91.35
Delta,20210422,9.55,26.66,93.21
Delta,20210423,9.87,26.81,93.58
Delta,20210424,8.63,25.93,94.19
Delta,20210425,5.82,26.4,90.69
Delta,20210426,3.39,26.96,90.06
Delta,20210427,7.7,26.7,94.04
Delta,20210428,3.66,26.88,91.73
Delta,20210429,3.1,26.63,91.08
Delta,20210430,3.57,27.35,87.1
Delta,20210501,4.62,26.62,95.56
Delta,20210502,3.17,26.67,93.27
Delta,20210503,5.37,25.95,95.05
Delta,20210504,3.19,25.89,90.36
Delta,20210505,2.52,26.66,89.04
Delta,20210506,17.07,25.36,94.59
Delta,20210507,10.24,26.02,90.89
Delta,20210508,9.24,25.34,92.06
Delta,20210509,1.51,25.94,88.61
Delta,20210510,1.71,25.77,92.36
Delta,20210511,1.82,26.21,91.42
Delta,20210512,3.32,26.39,92.39
Delta,20210513,4.16,26.51,91.79
Delta,20210514,3.06,26.85,89.96
Delta,20210515,4.09,26.64,92.21
Delta,20210516,3.8,26.06,94.49
Delta,20210517,8.96,26.62,91.78
Delta,20210518,6.69,26.53,91.46
Delta,20210519,8.96,26.47,92.85
Delta,20210520,13.23,26.28,94.6
Delta,20210521,5.1,26.6,91.72
Delta,20210522,3.21,25.72,94.22
Delta,20210523,2.76,26.36,89.96
Delta,20210524,2.82,26.98,90.5
Delta,20210525,6.96,26.75,94.92
Delta,20210526,8.56,26.71,95.15
Delta,20210527,13.53,27.01,92.38
Delta,20210528,7.19,26.64,93.13
Delta,20210529,11.18,26.57,93.6
Delta,20210530,9.54,26.4,94.82
Delta,20210531,31.89,26.5,96.48
Delta,20210601,21.58,26.36,91.86
Delta,20210602,4.94,26.03,92.71
Delta,20210603,7.0,26.6,89.89
Delta,20210604,7.62,25.84,94.87
Delta,20210605,18.15,25.74,91.94
Delta,20210606,21.88,26.19,88.91
Delta,20210607,0.67,26.93,86.11
Delta,20210608,6.89,25.73,93.13
Delta,20210609,20.79,25.51,95.49
Delta,20210610,1.59,26.74,85.96
Delta,20210611,2.98,25.25,94.58
Delta,20210612,1.05,25.96,89.76
Delta,20210613,0.39,26.57,89.1
Delta,20210614,1.77,26.56,91.33
Delta,20210615,20.27,25.49,95.16
Delta,20210616,30.49,25.67,92.34
Delta,20210617,24.16,25.71,91.83
Delta,20210618,33.07,25.91,91.71
Delta,20210619,33.97,25.44,95.38
Delta,20210620,4.22,24.97,94.04
Delta,20210621,11.35,25.48,94.17
Delta,20210622,5.08,24.66,94.7
Delta,20210623,1.74,25.14,90.0
Delta,20210624,1.47,25.92,87.87
Delta,20210625,8.69,24.94,95.62
Delta,20210626,11.76,25.13,94.34
Delta,20210627,6.55,25.19,92.45
Delta,20210628,8.29,24.87,91.59
Delta,20210629,5.59,24.81,91.09
Delta,20210630,5.77,25.36,89.48
Delta,20210701,4.78,25.54,91.6
Delta,20210702,8.38,25.08,95.04
Delta,20210703,23.82,24.78,95.33
Delta,20210704,12.75,24.95,90.7
Delta,20210705,31.06,24.74,91.3
Delta,20210706,2.08,24.77,90.58
Delta,20210707,5.48,24.93,94.59
Delta,20210708,10.38,25.09,94.06
Delta,20210709,7.65,24.93,93.57
Delta,20210710,3.73,24.77,90.89
Delta,20210711,4.69,25.25,90.11
Delta,20210712,3.37,25.16,92.07
Delta,20210713,7.97,25.03,93.44
Delta,20210714,9.58,25.24,91.27
Delta,20210715,9.44,24.97,91.98
Delta,20210716,47.18,24.61,94.63
Delta,20210717,8.42,25.11,89.65
Delta,20210718,0.37,25.13,90.08
Delta,20210719,4.35,25.02,91.51
Delta,20210720,2.27,25.33,89.48
Delta,20210721,1.9,25.22,89.32
Delta,20210722,0.29,25.19,88.97
Delta,20210723,0.77,25.04,90.03
Delta,20210724,0.14,24.34,89.12
Delta,20210725,0.71,24.42,87.06
Delta,20210726,0.73,24.37,88.2
Delta,20210727,1.71,24.4,88.83
Delta,20210728,0.31,24.84,86.16
Delta,20210729,0.15,24.89,86.27
Delta,20210730,1.57,24.84,88.1
Delta,20210731,4.75,25.21,87.56
Delta,20210801,7.7,24.85,90.94
Delta,20210802,9.0,25.03,92.51
Delta,20210803,27.5,25.59,90.26
Delta,20210804,7.04,25.02,92.62
Delta,20210805,7.82,24.72,93.81
Delta,20210806,3.5,25.3,91.52
Delta,20210807,8.15,24.72,93.01
Delta,20210808,4.44,24.08,93.1
Delta,20210809,31.48,24.85,90.58
Delta,20210810,27.97,25.12,92.15
Delta,20210811,43.53,24.88,92.39
Delta,20210812,17.42,24.52,93.6
Delta,20210813,12.27,25.04,90.35
Delta,20210814,6.45,24.7,91.99
Delta,20210815,6.14,25.23,89.27
Delta,20210816,6.8,25.03,91.69
Delta,20210817,10.14,24.57,93.81
Delta,20210818,4.56,24.81,90.83
Delta,20210819,16.78,24.49,92.46
Delta,20210820,70.91,24.33,95.51
Delta,20210821,18.24,24.33,95.9
Delta,20210822,11.78,24.7,92.64
Delta,20210823,7.11,24.78,93.7
Delta,20210824,5.24,25.29,91.62
Delta,20210825,3.98,25.62,91.47
Delta,20210826,4.69,24.7,95.75
Delta,20210827,3.55,24.77,93.88
Delta,20210828,5.21,25.45,91.9
Delta,20210829,39.72,25.09,94.65
Delta,20210830,37.32,24.9,95.05
Delta,20210831,9.53,25.24,92.75
Delta,20210901,17.09,24.85,95.81
Delta,20210902,20.83,25.04,93.3
Delta,20210903,104.72,24.98,93.39
Delta,20210904,8.74,24.79,92.47
Delta,20210905,10.25,24.89,90.61
Delta,20210906,2.58,24.97,91.84
Delta,20210907,5.83,25.11,93.61
Delta,20210908,4.5,25.58,93.61
Delta,20210909,8.18,25.77,92.51
Delta,20210910,12.55,25.4,95.25
Delta,20210911,3.72,25.39,92.81
Delta,20210912,16.21,25.45,92.42
Delta,20210913,4.83,25.35,91.2
Delta,20210914,2.27,25.0,89.43
Delta,20210915,1.06,25.41,88.64
Delta,20210916,1.36,25.34,91.85
Delta,20210917,1.38,25.17,91.6
Delta,20210918,11.33,25.21,92.89
Delta,20210919,17.55,25.82,91.76
Delta,20210920,15.2,24.87,93.68
Delta,20210921,21.48,24.77,94.82
Delta,20210922,11.43,24.94,92.67
Delta,20210923,0.87,25.73,86.6
Delta,20210924,6.48,25.27,93.61
Delta,20210925,13.01,24.76,91.23
Delta,20210926,3.15,25.23,88.93
Delta,20210927,5.51,25.47,89.56
Delta,20210928,2.17,25.61,89.03
Delta,20210929,1.95,25.26,92.88
Delta,20210930,6.99,25.72,92.36
Delta,20211001,14.81,25.03,95.4
Delta,20211002,6.56,25.69,92.25
Delta,20211003,2.58,25.22,93.96
Delta,20211004,2.17,26.36,87.98
Delta,20211005,9.6,25.7,95.32
Delta,20211006,15.92,25.64,93.83
Delta,20211007,1.04,26.42,86.64
Delta,20211008,5.88,26.59,88.78
Delta,20211009,18.2,25.41,96.1
Delta,20211010,4.28,26.34,91.71
Delta,20211011,5.54,26.21,91.85
Delta,20211012,5.93,25.63,93.45
Delta,20211013,2.81,26.17,90.59
Delta,20211014,4.51,25.86,90.83
Delta,20211015,0.82,26.17,88.52
Delta,20211016,4.62,26.23,90.44
Delta,20211017,9.38,25.85,92.95
Delta,20211018,0.67,26.09,88.97
Delta,20211019,1.88,25.59,91.45
Delta,20211020,2.01,25.14,93.06
Delta,20211021,3.86,26.29,89.4
Delta,20211022,10.72,25.42,94.79
Delta,20211023,3.04,25.86,89.28
Delta,20211024,0.68,26.96,84.75
Delta,20211025,7.16,26.19,93.0
Delta,20211026,5.65,26.35,88.84
Delta,20211027,5.48,26.4,89.04
Delta,20211028,13.69,26.45,90.05
Delta,20211029,11.93,27.01,86.46
Delta,20211030,15.12,25.2,94.67
Delta,20211031,11.66,25.7,92.05
Delta,20211101,25.3,25.56,94.23
Delta,20211102,1.68,25.61,90.78
Delta,20211103,1.32,26.37,87.75
Delta,20211104,4.21,26.14,92.63
Delta,20211105,3.02,25.71,93.27
Delta,20211106,3.99,25.5,94.89
Delta,20211107,31.85,26.04,94.0
Delta,20211108,27.41,25.98,94.19
Delta,20211109,29.37,26.05,93.49
Delta,20211110,34.89,26.18,93.27
Delta,20211111,19.81,25.82,95.14
Delta,20211112,5.29,25.0,93.83
Delta,20211113,4.88,26.58,88.85
Delta,20211114,9.62,25.99,93.27
Delta,20211115,12.03,26.23,92.93
Delta,20211116,9.78,26.41,90.36
Delta,20211117,3.4,26.37,91.26
Delta,20211118,4.55,26.44,90.65
Delta,20211119,22.09,25.13,95.33
Delta,20211120,3.41,26.49,86.3
Delta,20211121,2.95,26.64,89.89
Delta,20211122,15.22,26.41,92.76
Delta,20211123,21.83,25.97,91.97
Delta,20211124,4.54,26.58,88.14
Delta,20211125,17.27,26.32,91.86
Delta,20211126,8.16,26.8,89.2
Delta,20211127,0.81,26.44,91.14
Delta,20211128,1.35,26.27,91.74
Delta,20211129,1.13,25.35,90.49
Delta,20211130,0.98,26.57,84.96
Delta,20211201,0.29,26.6,89.09
Delta,20211202,3.23,26.6,91.05
Delta,20211203,1.86,25.79,92.83
Delta,20211204,0.85,26.99,85.3
Delta,20211205,5.31,26.83,92.53
Delta,20211206,0.69,27.05,91.5
Delta,20211207,0.0,27.89,82.9
Delta,20211208,0.01,26.97,85.94
Delta,20211209,0.0,26.82,80.84
Delta,20211210,0.0,25.45,77.07
Delta,20211211,0.0,26.38,83.96
Delta,20211212,1.9,27.13,88.19
Delta,20211213,1.38,27.32,86.66
Delta,20211214,3.57,27.17,87.68
Delta,20211215,3.35,27.27,85.18
Delta,20211216,9.19,25.41,85.76
Delta,20211217,0.0,24.06,77.18
Delta,20211218,0.0,22.77,81.59
Delta,20211219,0.0,22.65,81.58
Delta,20211220,0.0,22.62,81.11
Delta,20211221,0.0,23.32,80.29
Delta,20211222,0.01,23.9,82.33
Delta,20211223,0.2,24.2,81.14
Delta,20211224,0.24,25.02,81.28
Delta,20211225,30.89,25.53,92.51
Delta,20211226,0.14,26.7,83.32
Delta,20211227,4.01,26.86,87.87
Delta,20211228,7.59,26.01,89.85
Delta,20211229,11.36,23.19,83.95
Delta,20211230,0.0,25.32,78.18
Delta,20211231,6.71,26.12,86.49
Delta,20220101,9.85,26.63,86.92
Delta,20220102,1.69,25.89,82.18
Delta,20220103,0.01,23.12,79.67
Delta,20220104,0.0,22.23,80.67
